,표준ID,정류장명,ARS-ID,X좌표,Y좌표,epsg5179_x,epsg5179_y
7327,116900268,서울남부교정시설,17457,126.8397338,37.47688081,1942166.093,941620.6942
7328,116900269,구로구청후문,17932,126.8879281,37.49598299,1944256.577,945895.7522
7329,116900271,신도림역,17412,126.8899099,37.51039978,1945854.901,946081.3047
7330,116900272,문성골,17923,126.8999955,37.48149236,1942642.06,946952.2168
7331,116900273,KEB하나은행,17695,126.8957737,37.48449299,1942977.349,946581.0906
7332,116900274,연지타운2단지,17650,126.8448667,37.48193475,1942723.628,942078.4405
7333,116900275,연지타운2단지,17651,126.8452305,37.48210554,1942742.353,942110.7369
7334,116900276,천왕역,17202,126.8391057,37.48609375,1943188.605,941572.3329
7335,116900277,오류동역2번출구,17601,126.8437977,37.49371554,1944031.298,941993.0376
7336,116900278,미래빌라,17602,126.8421366,37.49293181,1943945.373,941845.5904
7337,116900279,우림필유아파트,17603,126.847189,37.49424505,1944087.96,942293.2326
7338,116900280,동부에이스,17604,126.8496238,37.49485372,1944153.999,942508.9315
7339,116900281,개봉역.림괄아파트,17504,126.8587232,37.49373414,1944024.268,943312.4504
7340,116900282,개봉푸르지오후문,17605,126.8491645,37.50017011,1944744.103,942472.409
7341,116900283,개봉푸르지오정문,17609,126.8487501,37.50104575,1944841.504,942436.4519
7342,116900284,개봉1동사거리,17610,126.8456186,37.50132451,1944874.351,942159.8726
7343,116900285,신도림역.아이파크아파트,17612,126.8886745,37.51083903,1945904.342,945972.4378
7344,116900286,동아2차아파트상가,17613,126.8864483,37.50866456,1945664.378,945774.1162
7345,116900287,브라운스톤,17622,126.8530208,37.49093569,1943717.246,942806.2305
7346,116900288,개웅어린이공원,17623,126.8530208,37.48994395,1943607.218,942805.4743
7347,116900289,거성슈퍼,17624,126.8525166,37.48996949,1943610.358,942760.9208
7348,116900290,대림그린빌라,17625,126.8519801,37.48995672,1943609.267,942713.4826
7349,116900291,정도주택,17620,126.8518678,37.49415821,1944075.467,942706.7644
7350,116900292,신세기아파트,17621,126.8532196,37.49384325,1944039.702,942826.0213
7351,116900293,에덴맨션,17626,126.8515643,37.49229559,1943869.005,942678.5119
7352,116900294,덕의초등학교.고척동성당,17505,126.8576518,37.5056425,1945346.081,943226.757
7353,116900295,한화비즈메트로,17632,126.893427,37.48058069,1942544.637,946370.8233
7354,116900296,한국산업기술시험원.디지털탑프라자,17633,126.8973623,37.48161251,1942656.877,946719.4926
7355,116900297,구로디지털단지우체국,17634,126.8983628,37.4831833,1942830.581,946809.0634
7356,116900298,JNK디지털타워,17635,126.8973976,37.48218333,1942720.186,946723.0189
7357,116900299,에이스하이엔드타워2차,17636,126.8956407,37.48081473,1942569.344,946566.7126
7358,116900300,만민중앙교회,17637,126.8944981,37.48062317,1942548.74,946465.5542
7359,116900301,에이스하이엔드타워1차,17638,126.8930229,37.48111697,1942604.364,946335.4787
7360,116900302,이앤씨드림타워7차,18592,126.8867786,37.47988215,1942470.946,945782.5052
7361,116900303,가산디지털단지역,18604,126.8834352,37.48160536,1942664.056,945488.15
7362,116900304,가산디지털단지역,18605,126.8841138,37.48104513,1942601.509,945547.7405
7363,116900305,한국건설생활환경시험연구원,18798,126.8800924,37.48331446,1942855.611,945193.8511
7364,116900306,항동우남퍼스트빌,17151,126.8195068,37.47695883,1942187.482,939832.3075
7365,117000001,문성초등학교,18001,126.8986661,37.47536371,1941962.874,946830.3382
7366,117000002,문성초등학교,18002,126.89833,37.474034,1941815.541,946799.6775
7367,117000003,금천우체국,18003,126.8980832,37.46913566,1941272.24,946774.3816
7368,117000004,금천우체국,18004,126.898003,37.470136,1941383.267,946767.9991
7369,117000005,말미고개,18005,126.897763,37.464175,1940722.068,946742.5481
7370,117000006,말미고개,18006,126.897285,37.46473,1940783.912,946700.6708
7371,117000007,금천구청.금천경찰서,18007,126.8988722,37.45920883,1940170.477,946837.1226
7372,117000008,금천구청.금천경찰서,18008,126.899097,37.457727,1940005.951,946855.9551
7373,117000009,시흥사거리,18009,126.9014119,37.45251664,1939426.592,947057.0147
7374,117000010,시흥사거리,18010,126.9010983,37.45292097,1939471.626,947029.5628
7375,117000011,박미삼거리.국립전통예술중고,18011,126.9032727,37.44784322,1938907.064,947218.3138
7376,117000012,박미삼거리.국립전통예술중고,18012,126.902663,37.449067,1939043.175,947165.2448
7377,117000013,시흥유통센터,18013,126.9034543,37.44025691,1938065.313,947229.0488
7378,117000014,시흥유통센터,18014,126.903133,37.440823,1938128.296,947201.0238
7379,117000015,석수역,18777,126.9033101,37.43371743,1937339.884,947211.6995
7380,117000016,디지털3단지.롯데정보통신,18102,126.87658,37.48506653,1943052.043,944884.6031
7381,117000017,에이스하이엔드타워5차,18103,126.8793518,37.48561366,1943111.125,945130.0554
7382,117000018,디지털3단지.영창실업,18104,126.8789487,37.48314872,1942837.89,945092.614
7383,117000019,디지털3단지운동장,18105,126.877893,37.48216273,1942729.116,944998.5554
7384,117000020,가산디지털단지역,18106,126.8810812,37.48110178,1942609.552,945279.6583
7385,117000021,가산디지털단지역,18107,126.8814808,37.48080391,1942576.273,945314.7713
7386,117000022,디지털3단지.월드벤처센터,18108,126.8793082,37.47897427,1942374.55,945121.3448
7387,117000023,디지털3단지.(주)로옴코리아,18109,126.8799734,37.47947416,1942429.622,945180.5245
7388,117000024,디지털3단지사거리,18110,126.8805771,37.47667143,1942118.325,945231.8555
7389,117000025,디지털3단지사거리,18111,126.8804495,37.47584499,1942026.711,945219.97
7390,117000026,디지털3단지사거리,18112,126.8813406,37.4757765,1942018.594,945298.7111
7391,117000027,금천패션아울렛사거리.마리오,18113,126.8884882,37.47833359,1942298.16,945932.5439
7392,117000028,금천패션아울렛사거리.W몰,18114,126.8878763,37.47766169,1942223.968,945877.957
7393,117000030,디지털단지오거리,18116,126.8907158,37.47821042,1942283.218,946129.413
7394,117000031,디지털단지오거리,18117,126.891037,37.47815305,1942276.669,946157.7714
7395,117000032,디지털단지오거리,18118,126.8933261,37.4785354,1942317.782,946360.4403
7396,117000033,가산초등학교,18119,126.8955562,37.47823462,1942283.144,946557.4041
7397,117000034,가산동주민센터.금천글로벌센터,18120,126.8920987,37.47661223,1942105.118,946250.5403
7398,117000035,가산동주민센터.금천글로벌센터,18121,126.8927188,37.47624424,1942063.938,946305.1056
7399,117000036,구립가산도서관.두산위브아파트,18122,126.8939435,37.47446656,1941866.018,946412.1235
7400,117000037,구립가산도서관.두산위브아파트,18123,126.8946419,37.47395356,1941808.707,946473.5111
7401,117000038,독산사거리,18124,126.8959042,37.47190015,1941580.177,946583.6649
7402,117000039,독산사거리,18125,126.8965997,37.47178362,1941566.854,946645.0813
7403,117000040,독산주공13단지,18126,126.8876203,37.45684407,1939914.531,945840.3054
7404,117000041,독산1동한신코아,18127,126.8882117,37.45671307,1939899.658,945892.5158
7405,117000044,독산근린공원,18130,126.884305,37.46411372,1940722.964,945552.3643
7406,117000045,독산근린공원,18131,126.8844061,37.46455446,1940771.802,945561.6245
7407,117000046,독산동우시장,18132,126.8950253,37.46659366,1940991.954,946502.167
7408,117000047,독산동우시장,18133,126.8956688,37.46637436,1940967.259,946558.9161
7409,117000048,시흥사거리.시흥대교,18134,126.8995918,37.45448536,1939646.033,946897.4237
7410,117000049,시흥사거리.시흥대교,18135,126.8996881,37.45429668,1939625.046,946905.8076
7411,117000050,벽산아파트1단지.호압사입구,18136,126.9207601,37.45275737,1939442.603,948768.4739
7412,117000051,벽산아파트1단지.호압사입구,18137,126.9211998,37.45273874,1939440.297,948807.3513
7413,117000052,벽산아파트5단지,18138,126.9188451,37.44671954,1938773.79,948594.9665
7414,117000053,벽산아파트5단지,18139,126.9187835,37.44624821,1938721.533,948589.1952
7415,117000054,시흥동은행나무.은행나무시장,18140,126.9090455,37.45103052,1939257.455,947731.1517
7416,117000055,시흥동은행나무.은행나무시장,18141,126.909058,37.450843,1939236.644,947732.1268
7417,117000056,은행나무입구사거리,18142,126.9072079,37.45178422,1939342.094,947569.1439
7418,117000057,은행나무입구사거리,18143,126.906735,37.451855,1939350.21,947527.3662
7419,117000060,독산고개,18146,126.8983186,37.47566528,1941996.528,946799.8259
7420,117000061,독산고개,18147,126.8989476,37.47624703,1942060.714,946855.854
7421,117000062,독산사거리앞,18148,126.8980256,37.47242375,1941637.066,946771.6199
7422,117000063,남문시장.청춘빌딩,18149,126.8986309,37.47296493,1941696.764,946825.5263
7423,117000064,금천우체국,18150,126.8977875,37.4704375,1941416.838,946749.1571
7424,117000066,홈플러스금천점,18152,126.8976146,37.46873606,1941228.172,946732.6609
7425,117000067,홈플러스금천점,18153,126.8981744,37.46859237,1941211.914,946782.0611
7426,117000074,시흥사거리,18160,126.9007975,37.45297569,1939477.866,947002.9966
7427,117000076,문일고입구,18162,126.9016624,37.45089944,1939247.034,947078.0314
7428,117000077,문일고입구,18163,126.9023184,37.45080258,1939235.92,947135.9859
7429,117000078,남서울힐스테이트.국립전통예술고,18164,126.9032821,37.44672585,1938783.094,947218.3602
7430,117000079,금천폭포공원.천주교시흥성당,18165,126.903517,37.44771275,1938892.452,947239.8312
7431,117000080,박미마을,18166,126.9031781,37.44150022,1938203.404,947205.4892
7432,117000081,박미마을,18167,126.9039558,37.44314178,1938385.088,947275.4366
7433,117000082,기아대교,18168,126.9029829,37.43948788,1937980.258,947186.8075
7434,117000083,시흥3동주민센터앞,18169,126.9036272,37.44016703,1938055.244,947244.2808
7435,117000084,석수역,18170,126.9033112,37.43552416,1937540.327,947213.0657
7436,117000085,백산초등학교,18171,126.903978,37.44876292,1939008.703,947281.3449
7437,117000086,백산초등학교,18172,126.904229,37.44862346,1938993.091,947303.4485
7438,117000087,은행나무입구사거리,18173,126.9057879,37.45111177,1939268.281,947443.077
7439,117000088,은행나무입구사거리,18174,126.9060589,37.45133276,1939292.647,947467.2013
7440,117000089,경남아파트,18175,126.9062606,37.45361543,1939545.782,947486.6373
7441,117000090,시흥초등학교,18176,126.9058231,37.45456755,1939651.657,947448.6083
7442,117000091,시흥초등학교,18177,126.9059442,37.45535252,1939738.677,947459.8681
7443,117000092,동산교회앞,18178,126.9052839,37.45734705,1939960.325,947402.8655
7444,117000093,동산교회앞,18179,126.9056143,37.45702652,1939924.58,947431.8622
7445,117000094,현대시장.시흥4동주민센터,18180,126.9048243,37.45960215,1940210.771,947363.7984
7446,117000095,현대시장.시흥4동주민센터,18181,126.9051696,37.45924018,1940170.42,947394.0828
7447,117000096,남부여성발전센터,18182,126.904154,37.46230223,1940510.702,947306.4126
7448,117000097,남부여성발전센터,18183,126.9043527,37.46245738,1940527.803,947324.0937
7449,117000098,독산동정훈단지,18184,126.9020698,37.46543818,1940859.783,947124.3034
7450,117000099,독산동정훈단지,18185,126.903006,37.46445224,1940749.874,947206.4002
7451,117000100,독산초등학교,18186,126.8997169,37.46653826,1940983.153,946917.0094
7452,117000101,독산초등학교,18187,126.9000327,37.46631415,1940958.112,946944.7775
7453,117000102,독산4동주민센터,18188,126.9019814,37.46734575,1941071.465,947117.8297
7454,117000103,독산동성당앞,18189,126.9022258,37.46891568,1941245.502,947140.5474
7455,117000104,독산동성당앞,18190,126.9027437,37.46970728,1941333.034,947186.9012
7456,117000105,독산동쌈지공원,18191,126.9029464,37.47126546,1941505.791,947205.9213
7457,117000106,독산동쌈지공원,18192,126.9031805,37.47117374,1941495.484,947226.5571
7458,117000107,독산3동주민센터,18193,126.9033549,37.47532708,1941956.173,947244.8979
7459,117000108,독산3동주민센터,18194,126.9036415,37.47582293,1942011.024,947270.5876
7460,117000109,모두의학교.금천문화예술정보학교,18195,126.9036964,37.47883897,1942345.604,947277.5608
7461,117000110,모두의학교.금천문화예술정보학교,18196,126.9039352,37.47865894,1942325.497,947298.5481
7462,117000111,모두의학교.금천문화예술정보학교,18197,126.9055934,37.47994976,1942467.779,947446.0644
7463,117000112,관악구보훈회관.신림푸르지오,18198,126.9091623,37.48059415,1942537.284,947762.0571
7464,117000113,독산고등학교,18199,126.9111178,37.47725062,1942165.257,947932.6311
7465,117000114,독산고등학교,18200,126.9116122,37.4770862,1942146.743,947976.231
7466,117000115,독산3치안센터,18201,126.9071782,37.47670794,1942107.236,947583.92
7467,117000116,독산3치안센터,18202,126.907331,37.47653685,1942088.169,947597.311
7468,117000117,금천우체국,18203,126.897265,37.46975761,1941341.704,946702.4717
7469,117000118,진도아파트,18204,126.8924286,37.47041562,1941417.455,946275.2743
7470,117000119,제일모직아울렛,18205,126.8860548,37.47471063,1941897.614,945714.7695
